empresa_id,region,sector,actividad_ciiu,tamano,anio_ruc,personal_ocupado,remuneraciones,produccion_total,ventas_bienes_producidos,ventas_mercaderias,ventas_servicios,materia_prima,suministros_repuestos,total_insumos,consumo_intermedio,valor_agregado,gastos_operacionales,total_gastos_operacionales,gastos_financieros,arrendamientos,depreciaciones,formacion_capital_fijo,agua_m3,factor_expansion
EMP-1840,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2003,38,578311,2230336,0,13001301.0,0.0,0,11941.0,11941.0,1065597,1164739,747379,1053656,54622,37586.0,88973,0.0,1864.0,1.0
EMP-1841,Costa,Manufactura,Industrias manufactureras,Grande Empresa,2000,83,1533975,34864691,34996088,0.0,0.0,15123167,1504281.0,16627448.0,32308475,2556216,3081646,15681027,39905,0.0,645924,338811.0,67174.0,1.0
EMP-1842,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2011,18,285976,791129,0,5719940.0,0.0,0,8493.0,8493.0,293452,497677,192076,284959,1177,0.0,34820,27629.0,247.0,1.0
EMP-1843,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2010,66,839292,2727158,0,12263142.0,0.0,0,192987.0,192987.0,1738408,988750,1292182,1545421,90464,325633.0,22871,0.0,0.0,1.0
EMP-1844,Sierra,Servicios,"Actividades profesionales, científicas y técnicas",Mediana Empresa B,1996,100,1751297,2301689,0,0.0,2301689.0,0,11715.0,11715.0,522846,1778843,176667,511131,1846,0.0,24572,26425.0,0.0,10.12694797
EMP-1845,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Mediana Empresa B,1996,36,903664,1584354,0,4195539.0,279188.0,0,2844.0,2844.0,489430,1094924,339801,486586,10968,29217.0,61111,-12724.0,271.0,1.0
EMP-1846,Sierra,Manufactura,Industrias manufactureras,Grande Empresa,2008,66,1601682,14948360,13909438,8688468.0,80765.0,8383640,331539.0,8715179.0,11342082,3606278,1255070,2626903,0,0.0,253050,481169.0,163.0,1.0
EMP-1847,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2011,41,217751,5666205,0,20962283.0,0.0,0,10472.0,10472.0,5356908,309297,200920,5346436,23291,58373.0,28713,0.0,0.0,1.0
EMP-1848,Costa,Manufactura,Industrias manufactureras,Grande Empresa,2011,312,9242824,292241211,293238268,0.0,0.0,248749686,2060860.0,250810546.0,272866273,19374938,14844924,22055727,442951,7303.0,6013925,18766188.0,0.0,1.0
EMP-1849,Sierra,Servicios,Transporte y almacenamiento,Grande Empresa,1988,11,137348,639659,0,6736320.0,141474.0,0,4054.0,4054.0,373708,265951,167438,369654,454,0.0,27317,0.0,2330.0,1.0
EMP-1850,Amazonía,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Mediana Empresa A,1997,8,359808,1391444,0,1997666.0,0.0,0,171840.0,171840.0,724091,667353,407682,552251,0,0.0,146292,160326.0,0.0,1.0
